pos_X,pos_Y,pos_Z,vel_X,vel_Y,vel_Z,acl_X,acl_Y,acl_Z,velocityroll_X,pitch_Y,yaw_Z,roll_X_rate,pitch_Y_rate,yaw_Z_rate,roll_X_acl,pitch_Y_acl,yaw_Z_acl,steerCmd,aclCmd,brakeCmd,clutchCmd,geraCmd
36.328,101.917,0.234092,0.10761,5.87102e-09,1.36355,110.8,-3.39459e-07,28.4062,1.36779,1.57964e-10,0.00149035,0.499996,6.26313e-10,0.0529114,-3.51463e-09,-4.01053e-07,-10.8482,-8.37918e-07,0,0,1,0,0
36.3282,101.918,0.236932,0.107511,3.50679e-09,1.42037,0.0109667,-3.77772e-07,28.4062,1.42444,1.55919e-10,0.00158322,0.499996,-1.02241e-09,0.0556215,-3.51565e-09,-8.2436e-07,1.35503,-5.0927e-10,0,0,1,0,0
36.328,101.917,0.239887,-0.114161,-3.97629e-10,1.4772,-110.77,-2.91022e-07,28.4061,1.4816,1.52427e-10,0.00173021,0.499996,-1.74612e-09,0.0833264,-2.19664e-09,-3.61854e-07,13.8525,6.59506e-07,0,0,1,0,0
36.3278,101.917,0.242955,-0.114337,-1.41794e-09,1.53399,0.0205021,-2.49305e-07,28.4062,1.53825,1.47866e-10,0.00188064,0.499996,-2.28013e-09,0.0860365,-2.27766e-09,-2.67009e-07,1.35503,-4.0508e-08,0,0,1,0,0
36.328,101.917,0.246137,0.10704,-7.89065e-09,1.59079,110.804,1.26103e-07,28.4062,1.59438,1.41926e-10,0.00198277,0.499996,-2.97024e-09,0.0631144,-2.44312e-09,-3.45055e-07,-11.461,-8.27321e-08,0,0,1,0,0
36.3282,101.918,0.249431,0.10691,-6.86501e-09,1.64761,0.0163262,5.74469e-07,28.4061,1.65108,1.3813e-10,0.0020884,0.499996,-1.89818e-09,0.0658245,-1.66663e-09,5.36032e-07,1.35503,3.88245e-07,0,0,1,0,0
36.328,101.917,0.252841,-0.114793,-1.10663e-08,1.70443,-110.764,5.04432e-07,28.4061,1.7083,1.37926e-10,0.0022505,0.499996,-1.01995e-10,0.0948509,2.41529e-10,8.98092e-07,14.5132,9.5408e-07,0,0,1,0,0
36.3278,101.917,0.256364,-0.115019,-8.19657e-09,1.76123,0.0251524,6.47531e-07,28.4062,1.76498,1.43786e-10,0.00241564,0.499996,2.93012e-09,0.097561,7.58107e-10,1.51606e-06,1.35503,2.58289e-07,0,0,1,0,0
36.328,101.917,0.259999,0.106308,-7.80077e-09,1.81802,110.809,8.34151e-07,28.4062,1.82113,1.56016e-10,0.00252914,0.499996,6.11504e-09,0.0732214,7.62759e-10,1.59246e-06,-12.1698,2.32603e-09,0,0,1,0,0
36.3282,101.918,0.263748,0.106145,-4.07211e-09,1.87485,0.0220872,6.79589e-07,28.4061,1.87785,1.73655e-10,0.0026457,0.499996,8.81979e-09,0.0759314,1.06426e-09,1.35237e-06,1.35503,1.50752e-07,0,0,1,0,0
36.328,101.917,0.267612,-0.11559,5.03197e-09,1.93167,-110.759,3.87978e-07,28.4061,1.93513,1.94843e-10,0.00282145,0.499996,1.05936e-08,0.106471,2.08603e-09,8.86892e-07,15.27,5.10883e-07,0,0,1,0,0
36.3278,101.917,0.27159,-0.115869,6.49942e-09,1.98846,0.0304094,-1.86861e-07,28.4061,1.99184,2.15981e-10,0.00299986,0.499996,1.05693e-08,0.109182,1.48666e-09,-1.21538e-08,1.35503,-2.99684e-07,0,0,1,0,0
36.328,101.917,0.27568,0.105404,6.51249e-09,2.04525,110.814,-6.01361e-07,28.4061,2.04797,2.34328e-10,0.00312286,0.499996,9.17358e-09,0.0832322,-7.34701e-10,-6.9784e-07,-12.9747,-1.11068e-06,0,0,1,0,0
36.3282,101.918,0.279883,0.105209,7.41775e-09,2.10208,0.0282275,-5.31357e-07,28.4061,2.10471,2.49513e-10,0.00324848,0.499996,7.59241e-09,0.0859423,-1.22913e-09,-7.90586e-07,1.35503,-2.47214e-07,0,0,1,0,0
