pos_X,pos_Y,pos_Z,vel_X,vel_Y,vel_Z,acl_X,acl_Y,acl_Z,velocityroll_X,pitch_Y,yaw_Z,roll_X_rate,pitch_Y_rate,yaw_Z_rate,roll_X_acl,pitch_Y_acl,yaw_Z_acl,steerCmd,aclCmd,brakeCmd,clutchCmd,geraCmd
223.863,372.019,1.83114,-0.0971364,1.50165e-09,1.29746,0.0153941,-3.08064e-07,28.2044,1.30109,2.13539e-10,0.00139833,-3.64044e-06,2.82145e-09,0.072845,-2.3388e-09,-5.83417e-07,1.35503,1.18105e-07,0,0,1,0,0
223.863,372.019,1.83385,0.0915985,3.70457e-10,1.35386,94.4522,-5.6903e-07,28.2044,1.35695,2.16211e-10,0.00149077,-3.64045e-06,1.33617e-09,0.0546554,-3.3491e-09,-7.42638e-07,-9.0948,-5.05152e-07,0,0,1,0,0
223.864,372.019,1.83667,0.0914974,-1.43065e-10,1.41027,0.0120286,-2.58887e-07,28.2044,1.41324,2.14828e-10,0.00158711,-3.64046e-06,-6.91579e-10,0.0573655,-3.18436e-09,-1.01388e-06,1.35503,8.23699e-08,0,0,1,0,0
223.863,372.019,1.8396,-0.0974837,-2.86603e-11,1.46669,-94.4226,5.78668e-08,28.2044,1.46993,2.16679e-10,0.00173032,-3.64046e-06,9.25413e-10,0.0814759,-2.19718e-09,8.08496e-07,12.0552,4.93589e-07,0,0,1,0,0
223.863,372.019,1.84265,-0.0976547,6.5209e-10,1.52308,0.0194905,3.3923e-07,28.2044,1.52621,2.24673e-10,0.00187697,-3.64046e-06,3.9969e-09,0.084186,-1.36894e-09,1.53574e-06,1.35503,4.14121e-07,0,0,1,0,0
223.863,372.019,1.84581,0.091035,9.14728e-10,1.57948,94.4565,1.25353e-07,28.2044,1.5821,2.32809e-10,0.00198277,-3.64046e-06,4.06835e-09,0.0649534,-9.3915e-10,3.57286e-08,-9.6163,2.14896e-07,0,0,1,0,0
223.864,372.019,1.84908,0.0909023,5.30502e-10,1.6359,0.0172331,-1.98625e-07,28.2043,1.63842,2.39985e-10,0.00209205,-3.64047e-06,3.58789e-09,0.0676634,-1.18263e-09,-2.40235e-07,1.35503,-1.21741e-07,0,0,1,0,0
223.863,372.019,1.85246,-0.0981111,4.84565e-10,1.69232,-94.4173,-2.89438e-08,28.2043,1.69516,2.46005e-10,0.00225013,-3.64047e-06,3.00977e-09,0.0928986,-1.51689e-09,-2.89058e-07,12.6176,-1.67129e-07,0,0,1,0,0
223.863,372.019,1.85596,-0.0983301,1.40728e-10,1.74871,0.0242674,-1.76877e-07,28.2044,1.75147,2.48659e-10,0.00241126,-3.64047e-06,1.32706e-09,0.0956087,-1.74594e-09,-8.41356e-07,1.35503,-1.14528e-07,0,0,1,0,0
223.863,372.019,1.85957,0.0903111,-5.49282e-10,1.8051,94.4615,-3.47181e-07,28.2044,1.80736,2.4823e-10,0.00252863,-3.64048e-06,-2.14216e-10,0.0751696,-2.59791e-09,-7.70637e-07,-10.2196,-4.25984e-07,0,0,1,0,0
223.864,372.019,1.86329,0.090145,-8.16557e-10,1.86152,0.022875,-1.33495e-07,28.2043,1.8637,2.45429e-10,0.00264904,-3.64048e-06,-1.40078e-09,0.0778796,-2.6719e-09,-5.93282e-07,1.35503,-3.69969e-08,0,0,1,0,0
223.863,372.019,1.86713,-0.0989023,-6.09075e-10,1.91794,-94.4116,1.06099e-07,28.2043,1.92049,2.48146e-10,0.0028205,-3.64049e-06,1.35856e-09,0.104403,-1.34131e-09,1.37967e-06,13.2617,6.65297e-07,0,0,1,0,0
223.863,372.019,1.87108,-0.0991719,-8.3433e-10,1.97433,0.0296187,-1.15111e-07,28.2044,1.97682,2.47561e-10,0.00299463,-3.64049e-06,-2.92497e-10,0.107113,-1.42573e-09,-8.2553e-07,1.35503,-4.22116e-08,0,0,1,0,0
223.863,372.019,1.87514,0.0894183,-1.5301e-09,2.03072,94.467,-3.47162e-07,28.2044,2.03269,2.46716e-10,0.00312172,-3.6405e-06,-4.22632e-10,0.085304,-2.80373e-09,-6.50671e-08,-10.9045,-6.88996e-07,0,0,1,0,0
223.864,372.019,1.87931,0.089218,-1.72739e-09,2.08714,0.0289193,-9.80672e-08,28.2044,2.08905,2.42348e-10,0.0032514,-3.6405e-06,-2.1837e-09,0.0880141,-2.84995e-09,-8.80532e-07,1.35503,-2.31122e-08,0,0,1,0,0
223.863,372.019,1.8836,-0.0998636,-1.40804e-09,2.14356,-94.4054,1.63977e-07,28.2044,2.14589,2.42895e-10,0.00343475,-3.6405e-06,2.73259e-10,0.115989,-1.33249e-09,1.22848e-06,13.9875,7.58728e-07,0,0,1,0,0
223.863,372.019,1.888,-0.100186,-6.21067e-10,2.19995,0.0354542,3.9303e-07,28.2044,2.20223,2.46733e-10,0.00362038,-3.6405e-06,1.91895e-09,0.118699,-4.95061e-10,8.22845e-07,1.35503,4.18717e-07,0,0,1,0,0
223.863,372.019,1.89252,0.0883518,-3.61907e-10,2.25635,94.4729,1.2538e-07,28.2044,2.25807,2.46659e-10,0.00375538,-3.64051e-06,-3.67075e-11,0.0953567,-3.64626e-10,-9.77828e-07,-11.6712,6.52171e-08,0,0,1,0,0
223.864,372.019,1.89714,0.0881179,-6.85665e-10,2.31277,0.0353193,-1.61829e-07,28.2044,2.31444,2.44739e-10,0.00389254,-3.64051e-06,-9.60083e-10,0.0980668,-6.55672e-10,-4.61688e-07,1.35503,-1.45523e-07,0,0,1,0,0
223.863,372.019,1.90185,-0.0867798,-6.12786e-10,2.35694,-87.2902,3.85848e-08,22.0803,2.35854,2.40967e-10,0.00407159,-3.64051e-06,-1.88603e-09,0.117714,-9.07354e-10,-4.62971e-07,9.8237,-1.25841e-07,0,0,1,0,0
223.863,372.019,1.90666,-0.0878357,-8.72091e-10,2.40045,-0.316931,-1.25136e-07,21.762,2.40205,2.33156e-10,0.00425225,-3.64051e-06,-3.90576e-09,0.112234,-1.12624e-09,-1.00987e-06,-2.73993,-1.09444e-07,0,0,1,0,0
