pos_X,pos_Y,pos_Z,vel_X,vel_Y,vel_Z,acl_X,acl_Y,acl_Z,velocity,roll_X,pitch_Y,yaw_Z,roll_X_rate,pitch_Y_rate,yaw_Z_rate,roll_X_acl,pitch_Y_acl,yaw_Z_acl,steerCmd,wheel_rgt,wheel_lft,aclCmd,brakeCmd,clutchCmd,geraCmd
123.668,11.8321,0.388649,13.9999,0.0231483,-0.0598982,18.0676,0.53143,-0.077647,14,0.000506961,-0.00427845,-0.0186555,0.00234118,-6.22284e-05,0.0479895,-0.0364929,-0.00718186,0.125518,0.0244228,0.00890614,0.00895141,0.861987,0,0,1
123.696,11.8317,0.388649,13.9999,0.0228192,-0.0599001,18.0454,0.536707,-0.0775879,14,0.000511506,-0.00427858,-0.0185591,0.00227281,-6.79623e-05,0.0482293,-0.0341885,-0.00286697,0.119879,0.0244228,0.00890614,0.00895141,0.861987,0,0,1
123.724,11.8312,0.388649,13.9999,0.0224948,-0.0599026,18.0237,0.542005,-0.0777361,14,0.000515925,-0.00427872,-0.0184621,0.00220948,-6.54999e-05,0.0484583,-0.0316654,0.00123117,0.114505,0.0244228,0.00890614,0.00895141,0.861987,0,0,1
123.752,11.8307,0.388649,13.9999,0.0221753,-0.0599049,18.0038,0.54721,-0.0776096,14,0.000520226,-0.00427883,-0.0183648,0.00215022,-5.58754e-05,0.0486772,-0.0296277,0.00481227,0.109457,0.0244228,0.00890614,0.00895141,0.861987,0,0,1
123.78,11.8302,0.388649,13.9999,0.021861,-0.0599073,17.985,0.55237,-0.0776888,14,0.000524416,-0.00427891,-0.018267,0.00209537,-3.95745e-05,0.0488866,-0.0274257,0.00815045,0.104692,0.0244228,0.00890614,0.00895141,0.861987,0,0,1
123.808,11.8298,0.388649,13.9999,0.0215517,-0.0599089,17.9676,0.557439,-0.0774206,14,0.000528506,-0.00427894,-0.0181688,0.00204469,-1.74213e-05,0.0490869,-0.0253385,0.0110766,0.100155,0.0244228,0.00890614,0.00895141,0.861987,0,0,1
123.836,11.8293,0.388649,13.9999,0.0212476,-0.0599098,17.9513,0.562437,-0.0773518,14,0.000532502,-0.00427892,-0.0180703,0.00199798,9.89443e-06,0.0492788,-0.0233566,0.0136579,0.0959264,0.0244228,0.00890614,0.00895141,0.861987,0,0,1
123.864,11.8288,0.388649,13.9999,0.0209488,-0.0599099,17.936,0.567334,-0.0772812,14,0.000536411,-0.00427884,-0.0179713,0.0019547,4.19513e-05,0.0494627,-0.0216378,0.0160285,0.0919633,0.0244228,0.00890614,0.00895141,0.861987,0,0,1
123.892,11.8284,0.388649,13.9999,0.0206422,-0.0599094,17.9218,0.565595,-0.0773482,14,0.000540227,-0.00427868,-0.0178721,0.0019078,7.79743e-05,0.0496269,-0.0234513,0.0180115,0.0820897,0.0241538,0.00880854,0.00885283,0.889701,0,0,1
123.92,11.8279,0.388649,13.9999,0.0203253,-0.0599075,17.9241,0.562373,-0.0772079,14,0.000543937,-0.00427846,-0.0177725,0.00185489,0.000111815,0.0497753,-0.0264552,0.0169203,0.0741909,0.0241538,0.00880854,0.00885283,0.889701,0,0,1
123.948,11.8275,0.388649,13.9999,0.0200076,-0.0599046,17.9495,0.563643,-0.0772718,14,0.000547542,-0.00427819,-0.0176727,0.00180256,0.000135244,0.0499254,-0.0261678,0.0117147,0.0750755,0.0241538,0.00880854,0.00885283,0.889701,0,0,1
