31.92,0.06408,0.011259
32.2,0.069148,0.013341
32.48,0.07495,0.015588
32.76,0.081533,0.017999
33.04,0.088943,0.020576
33.32,0.097226,0.023318
33.599,0.10643,0.026225
33.879,0.11659,0.029296
34.159,0.12777,0.032533
34.439,0.14001,0.035935
34.718,0.15335,0.039502
34.998,0.16784,0.043234
35.278,0.18352,0.047131
35.557,0.20043,0.051183
35.837,0.2186,0.055363
36.116,0.23802,0.059642
36.395,0.25871,0.063997
36.674,0.28066,0.068405
36.953,0.30382,0.072782
37.232,0.32803,0.076976
37.511,0.35315,0.08089
37.79,0.37905,0.084464
38.069,0.40561,0.087669
38.347,0.43272,0.0905
38.626,0.46028,0.092965
38.905,0.48821,0.095084
39.183,0.51645,0.096885
39.462,0.54492,0.098398
39.74,0.57357,0.099655
40.019,0.60238,0.10069
40.297,0.63129,0.10152
40.576,0.66028,0.1022
40.854,0.68934,0.10273
41.133,0.71843,0.10315
41.411,0.74756,0.10347
41.69,0.7767,0.10372
41.968,0.80586,0.1039
42.247,0.83502,0.10404
42.525,0.86419,0.10413
42.804,0.89336,0.1042
43.082,0.92252,0.10425
43.361,0.95169,0.10428
43.639,0.98085,0.1043
43.917,1.01,0.10432
44.196,1.0392,0.10433
44.474,1.0683,0.10433
44.753,1.0975,0.10434
45.031,1.1267,0.10435
45.31,1.1559,0.10436
45.588,1.185,0.10437
45.867,1.2142,0.10439
46.145,1.2434,0.1044
46.424,1.2726,0.10442
46.702,1.3018,0.10444
46.981,1.331,0.10447
47.259,1.3602,0.10449
47.538,1.3895,0.10452
47.816,1.4187,0.10455
48.095,1.448,0.10457
48.373,1.4772,0.10461
48.652,1.5065,0.10464
48.93,1.5358,0.10467
49.208,1.565,0.1047
49.487,1.5943,0.10474
49.765,1.6236,0.10477
50.044,1.6529,0.1048
50.322,1.6823,0.10484
50.601,1.7116,0.10487
50.879,1.7409,0.10491
51.158,1.7703,0.10494
51.436,1.7997,0.10498
51.715,1.829,0.10501
51.993,1.8584,0.10505
52.271,1.8878,0.10508
52.55,1.9172,0.10512
52.828,1.9466,0.10515
53.107,1.976,0.10519
53.385,2.0055,0.10523
53.664,2.0349,0.10526
53.942,2.0644,0.1053
54.221,2.0938,0.10533
54.499,2.1233,0.10537
54.778,2.1528,0.1054
55.056,2.1823,0.10544
55.334,2.2118,0.10547
55.613,2.2413,0.10551
55.891,2.2708,0.10554
56.17,2.3003,0.10558
56.448,2.3299,0.10561
56.727,2.3594,0.10565
57.005,2.389,0.10568
57.283,2.4185,0.10571
57.562,2.4481,0.10574
57.84,2.4777,0.10576
58.119,2.5072,0.10577
58.397,2.5368,0.10578
58.676,2.5664,0.10579
58.954,2.596,0.10579
59.233,2.6255,0.10579
59.511,2.6551,0.10578
59.789,2.6846,0.10577
60.068,2.7142,0.10574
60.346,2.7437,0.1057
60.625,2.7732,0.10564
60.903,2.8026,0.10556
