time,x,y,z,angle,steerValue,wheelAngle
0.020,2.500,0.100,0.000,0.000,0.000,0.000
0.020,2.500,0.100,0.000,0.000,0.000,0.000
0.040,2.500,0.096,0.000,0.000,0.000,0.000
0.054,2.500,0.090,0.000,0.000,0.000,0.000
0.057,2.500,0.090,0.000,0.000,0.000,0.000
0.059,2.500,0.088,0.000,0.000,0.000,0.000
0.064,2.500,0.086,0.000,0.000,0.000,0.000
0.067,2.500,0.084,0.000,0.000,0.000,0.000
0.072,2.500,0.081,0.000,0.000,0.000,0.000
0.075,2.500,0.079,0.000,0.000,0.000,0.000
0.078,2.500,0.078,0.000,0.000,0.000,0.000
0.083,2.500,0.074,0.000,0.000,0.000,0.000
0.086,2.500,0.072,0.000,0.000,0.000,0.000
0.089,2.500,0.070,0.000,0.000,0.000,0.000
0.092,2.500,0.067,0.000,0.000,0.000,0.000
0.097,2.500,0.063,0.000,0.000,0.000,0.000
0.100,2.500,0.061,0.000,0.000,0.000,0.000
0.105,2.500,0.057,0.000,0.000,0.000,0.000
0.108,2.500,0.055,0.000,0.000,0.000,0.000
0.113,2.500,0.052,0.000,0.000,0.000,0.000
0.116,2.500,0.049,0.000,0.000,0.000,0.000
0.121,2.500,0.046,0.000,0.000,0.000,0.000
0.123,2.500,0.044,0.000,0.000,0.000,0.000
0.129,2.500,0.041,0.000,0.000,0.000,0.000
0.132,2.500,0.038,0.000,0.000,0.000,0.000
0.134,2.500,0.037,0.000,0.000,0.000,0.000
0.139,2.500,0.034,0.000,0.000,0.000,0.000
0.141,2.500,0.032,0.000,0.000,0.000,0.000
0.145,2.500,0.030,0.000,0.000,0.000,0.000
0.150,2.500,0.028,0.000,0.000,0.000,0.000
0.152,2.500,0.026,0.000,0.000,0.000,0.000
0.155,2.500,0.025,0.000,0.000,0.000,0.000
0.158,2.500,0.023,0.000,0.000,0.000,0.000
0.163,2.500,0.020,0.000,0.000,0.000,0.000
0.167,2.500,0.018,0.000,0.000,0.000,0.000
0.170,2.500,0.017,0.000,0.000,0.000,0.000
0.173,2.500,0.015,0.000,0.000,0.000,0.000
0.178,2.500,0.013,0.000,0.000,0.000,0.000
0.180,2.500,0.012,0.000,0.000,0.000,0.000
0.185,2.500,0.010,0.000,0.000,0.000,0.000
0.188,2.500,0.008,0.000,0.000,0.000,0.000
0.191,2.500,0.007,0.000,0.000,0.000,0.000
0.196,2.500,0.005,0.000,0.000,0.000,0.000
0.199,2.500,0.004,0.000,0.000,0.000,0.000
0.205,2.500,0.002,0.000,0.000,0.000,0.000
0.208,2.500,0.000,0.000,0.000,0.000,0.000
0.213,2.500,-0.001,0.000,0.000,0.000,0.000
0.216,2.500,-0.003,0.000,0.000,0.000,0.000
0.221,2.500,-0.004,0.000,0.000,0.000,0.000
0.224,2.500,-0.005,0.000,0.000,0.000,0.000
0.229,2.500,-0.007,0.000,0.000,0.000,0.000
0.234,2.500,-0.008,0.000,0.000,0.000,0.000
0.237,2.500,-0.009,0.000,0.000,0.000,0.000
0.242,2.500,-0.011,0.000,0.000,0.000,0.000
0.245,2.500,-0.012,0.000,0.000,0.000,0.000
0.249,2.500,-0.012,0.000,0.000,0.000,0.000
0.251,2.500,-0.013,0.000,0.000,0.000,0.000
0.255,2.500,-0.014,0.000,0.000,0.000,0.000
0.259,2.500,-0.015,0.000,0.000,0.000,0.000
0.263,2.500,-0.016,0.000,0.000,0.000,0.000
0.267,2.500,-0.017,0.000,0.000,0.000,0.000
0.269,2.500,-0.017,0.000,0.000,0.000,0.000
0.274,2.500,-0.018,0.000,0.000,0.000,0.000
0.277,2.500,-0.019,0.000,0.000,0.000,0.000
0.280,2.500,-0.019,0.000,0.000,0.000,0.000
0.285,2.500,-0.020,0.000,0.000,0.000,0.000
0.288,2.500,-0.021,0.000,0.000,0.000,0.000
0.291,2.500,-0.021,0.000,0.000,0.000,0.000
0.296,2.500,-0.022,0.000,0.000,0.000,0.000
0.299,2.500,-0.022,0.000,0.000,0.000,0.000
0.302,2.500,-0.023,0.000,0.000,0.000,0.000
0.307,2.500,-0.023,0.000,0.000,0.000,0.000
0.309,2.500,-0.024,0.000,0.000,0.000,0.000
0.314,2.500,-0.024,0.000,0.000,0.000,0.000
0.317,2.500,-0.024,0.000,0.000,0.000,0.000
0.320,2.500,-0.025,0.000,0.000,0.000,0.000
0.323,2.500,-0.025,0.000,0.000,0.000,0.000
0.328,2.500,-0.026,0.000,0.000,0.000,0.000
0.331,2.500,-0.026,0.000,0.000,0.000,0.000
0.334,2.500,-0.026,0.000,0.000,0.000,0.000
0.337,2.500,-0.026,0.000,0.000,0.000,0.000
0.342,2.500,-0.027,0.000,0.000,0.000,0.000
0.345,2.500,-0.027,0.000,0.000,0.000,0.000
0.348,2.500,-0.027,0.000,0.000,0.000,0.000
0.353,2.500,-0.027,0.000,0.000,0.000,0.000
0.356,2.500,-0.027,0.000,0.000,0.000,0.000
0.359,2.500,-0.028,0.000,0.000,0.000,0.000
0.364,2.500,-0.028,0.000,0.000,0.000,0.000
0.367,2.500,-0.028,0.000,0.000,0.000,0.000
0.370,2.500,-0.028,0.000,0.000,0.000,0.000
0.373,2.500,-0.028,0.000,0.000,0.000,0.000
0.378,2.500,-0.028,0.000,0.000,0.000,0.000
0.380,2.500,-0.028,0.000,0.000,0.000,0.000
0.384,2.500,-0.028,0.000,0.000,0.000,0.000
0.387,2.500,-0.028,0.000,0.000,0.000,0.000
0.390,2.500,-0.028,0.000,0.000,0.000,0.000
0.395,2.500,-0.028,0.000,0.000,0.000,0.000
0.398,2.500,-0.028,0.000,0.000,0.000,0.000
0.401,2.500,-0.028,0.000,0.000,0.000,0.000
0.405,2.500,-0.028,0.000,0.000,0.000,0.000
0.410,2.500,-0.028,0.000,0.000,0.000,0.000
0.412,2.500,-0.028,0.000,0.000,0.000,0.000
0.416,2.500,-0.028,0.000,0.000,0.000,0.000
0.419,2.500,-0.028,0.000,0.000,0.000,0.000
0.423,2.500,-0.028,0.000,0.000,0.000,0.000
0.426,2.500,-0.028,0.000,0.000,0.000,0.000
0.430,2.500,-0.028,0.000,0.000,0.000,0.000
0.434,2.500,-0.028,0.000,0.000,0.000,0.000
0.436,2.500,-0.027,0.000,0.000,0.000,0.000
0.441,2.500,-0.027,0.000,0.000,0.000,0.000
0.444,2.500,-0.027,0.000,0.000,0.000,0.000
0.447,2.500,-0.027,0.000,0.000,0.000,0.000
0.452,2.500,-0.027,0.000,0.000,0.000,0.000
0.455,2.500,-0.027,0.000,0.000,0.000,0.000
0.459,2.500,-0.027,0.000,0.000,0.000,0.000
0.463,2.500,-0.026,0.000,0.000,0.000,0.000
0.466,2.500,-0.026,0.000,0.000,0.000,0.000
0.469,2.500,-0.026,0.000,0.000,0.000,0.000
0.472,2.500,-0.026,0.000,0.000,0.000,0.000
0.477,2.500,-0.025,0.000,0.000,0.000,0.000
0.480,2.500,-0.025,0.000,0.000,0.000,0.000
0.483,2.500,-0.025,0.000,0.000,0.000,0.000
0.486,2.500,-0.025,0.000,0.000,0.000,0.000
0.490,2.500,-0.025,0.000,0.000,0.000,0.000
0.495,2.500,-0.024,0.000,0.000,0.000,0.000
0.498,2.500,-0.024,0.000,0.000,0.000,0.000
0.501,2.500,-0.024,0.000,0.000,0.000,0.000
0.504,2.500,-0.024,0.000,0.000,0.000,0.000
0.509,2.500,-0.023,0.000,0.000,0.000,0.000
0.512,2.500,-0.023,0.000,0.000,0.000,0.000
0.516,2.500,-0.023,0.000,0.000,0.000,0.000
0.520,2.500,-0.023,0.000,0.000,0.000,0.000
0.522,2.500,-0.023,0.000,0.000,0.000,0.000
0.525,2.500,-0.022,0.000,0.000,0.000,0.000
0.530,2.500,-0.022,0.000,0.000,0.000,0.000
0.533,2.500,-0.022,0.000,0.000,0.000,0.000
0.536,2.500,-0.021,0.000,0.000,0.000,0.000
0.541,2.500,-0.021,0.000,0.000,0.000,0.000
0.544,2.500,-0.021,0.000,0.000,0.000,0.000
0.547,2.500,-0.021,0.000,0.000,0.000,0.000
0.552,2.500,-0.020,0.000,0.000,0.000,0.000
0.554,2.500,-0.020,0.000,0.000,0.000,0.000
0.557,2.500,-0.020,0.000,0.000,0.000,0.000
0.562,2.500,-0.020,0.000,0.000,0.000,0.000
0.565,2.500,-0.019,0.000,0.000,0.000,0.000
0.568,2.500,-0.019,0.000,0.000,0.000,0.000
0.571,2.500,-0.019,0.000,0.000,0.000,0.000
0.576,2.500,-0.018,0.000,0.000,0.000,0.000
0.579,2.500,-0.018,0.000,0.000,0.000,0.000
0.582,2.500,-0.018,0.000,0.000,0.000,0.000
0.587,2.500,-0.018,0.000,0.000,0.000,0.000
0.590,2.500,-0.017,0.000,0.000,0.000,0.000
0.593,2.500,-0.017,0.000,0.000,0.000,0.000
0.598,2.500,-0.017,0.000,0.000,0.000,0.000
0.600,2.500,-0.017,0.000,0.000,0.000,0.000
0.603,2.500,-0.016,0.000,0.000,0.000,0.000
0.608,2.500,-0.016,0.000,0.000,0.000,0.000
0.611,2.500,-0.016,0.000,0.000,0.000,0.000
0.614,2.500,-0.015,0.000,0.000,0.000,0.000
0.619,2.500,-0.015,0.000,0.000,0.000,0.000
0.622,2.500,-0.015,0.000,0.000,0.000,0.000
0.625,2.500,-0.015,0.000,0.000,0.000,0.000
0.630,2.500,-0.014,0.000,0.000,0.000,0.000
0.633,2.500,-0.014,0.000,0.000,0.000,0.000
0.635,2.500,-0.014,0.000,0.000,0.000,0.000
0.638,2.500,-0.014,0.000,0.000,0.000,0.000
0.643,2.500,-0.013,0.000,0.000,0.000,0.000
0.646,2.500,-0.013,0.000,0.000,0.000,0.000
0.649,2.500,-0.013,0.000,0.000,0.000,0.000
0.654,2.500,-0.012,0.000,0.000,0.000,0.000
0.657,2.500,-0.012,0.000,0.000,0.000,0.000
0.659,2.500,-0.012,0.000,0.000,0.000,0.000
0.664,2.500,-0.012,0.000,0.000,0.000,0.000
0.667,2.500,-0.012,0.000,0.000,0.000,0.000
0.670,2.500,-0.011,0.000,0.000,0.000,0.000
0.675,2.500,-0.011,0.000,0.000,0.000,0.000
